CHANCRO BLANDO | F	2.0
CHANCRO BLANDO | M	1.0
CLAMIDIASIS | F	1.0
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | F	1.608
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | M	1.0
GONORREA | M	1.0
GRANULOMA INGUINAL | F	1.0
HERPES GENITAL | F	1.19
HERPES GENITAL | M	1.111
INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION | F	1.625
INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE | F	1.0
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | F	2.0
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | M	1.0
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLA | F	1.0
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA | F	1.0
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA | M	1.0
LINFOGRANULOMA VENEREO | M	1.0
OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL ESPECIFICADAS | F	1.0
OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL ESPECIFICADAS | M	1.0
PROCTITIS | F	1.0
PROCTITIS | M	1.0
SIFILIS CONGENITA PRECOZ LATENTE | M	1.0
SIFILIS CONGENITA PRECOZ SINTOMATICA | F	1.0
SIFILIS CONGENITA PRECOZ SINTOMATICA | M	1.0
SIFILIS CONGENITA | F	1.0
SIFILIS CONGENITA | M	1.0
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | F	1.0
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | M	1.0
SIFILIS LATENTE | F	2.0
SIFILIS LATENTE | M	1.333
SIFILIS NO ESPECIFICADA | F	1.0
SIFILIS NO ESPECIFICADA | M	1.214
SIFILIS PRIMARIA | F	1.0
SIFILIS PRIMARIA | M	1.25
SIFILIS TARDIA NO ESPECIFICADA | F	1.0
SINDROME DE BUBON INGUINAL | F	1.0
SINDROME DE BUBON INGUINAL | M	1.5
SINDROME DE CERVICITIS | F	1.6
SINDROME DE DOLOR ABDOMINAL BAJO | F	1.273
SINDROME DE DOLOR ABDOMINAL BAJO | M	1.0
SINDROME DE FLUJO VAGINAL | F	4.107
SINDROME DE FLUJO VAGINAL | M	1.083
SINDROME DE SECRECION URETRAL | M	1.333
SINDROME DE ULCERA GENITAL | F	1.0
SINDROME DE ULCERA GENITAL | M	1.0
SINDROME DE VAGINITIS | F	1.0
TRICHOMONIASIS | F	1.143
TRICOMONIASIS UROGENITAL | F	1.222
TRICOMONIASIS UROGENITAL | M	1.0
VERRUGAS (VENEREAS) ANOGENITALES | F	1.568
VERRUGAS (VENEREAS) ANOGENITALES | M	1.222
