ID_AERODROMO,ID_DEPARTAMENTO,ID_PROVINCIA,ID_DISTRITO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE,LABEL,TIPO_AERODROMO,CODIGO_AERODROMO,CODIGO_OACI,ESCALA,ESTADO,ADMINISTRADOR,JERARQUIA,TITULARIDAD,LATITUD,LONGITUD,ES_CONCES,FECHA_CORTE
197,08,0809,080902,Cusco,La Convención,Echarate,La Peruanita N°2,Helipuerto La Peruanita N°2,Helipuerto de superficie,0843PE2,SPPV,Sin escala definida,Operativo,CNPC PERU S.A.,No aplica a privados,Privada,-11.689972,-73.021167,-1,20231231
198,08,0809,080902,Cusco,La Convención,Echarate,La Peruanita N°3,Helipuerto La Peruanita N°3,Helipuerto de superficie,0843PE3,SPPW,Sin escala definida,Operativo,CNPC PERU S.A.,No aplica a privados,Privada,-11.6910833333333,-73.0234722222222,-1,20231231
199,16,1607,160703,Loreto,Datem Del Marañón,Manseriche,La Vista - Estación 5,Helipuerto La Vista - Estación 5,Helipuerto de superficie,1643LV5,SPVS,Sin escala definida,Operativo,Petróleos del Perú - Petroperu S.A.,No aplica a privados,Privada,-4.654417,-77.506361,-1,20231231
200,03,0305,030506,Apurímac,Cotabamba,Challhuahuacho,Las Bambas,Helipuerto Las Bambas,Helipuerto de superficie,0343BMB,SPLB,Sin escala definida,Operativo,Minera Las Bambas S.A.,No aplica a privados,Privada,-14.1028833333333,-72.27625,-1,20231231
201,11,1101,110112,Ica,Ica,Subtanjalla,Las Dunas,Aeródromo Las Dunas,Aeródromo,1142LDU,SPLH,Sin escala definida,Operativo,Empresa Administradora del Aeródromo Las Dunas de Ica S.A.C.,No aplica a privados,Privada,-14.0351805555556,-75.7602833333333,-1,20231231
202,08,0809,080902,Cusco,La Convención,Echarate,Las Malvinas,Aeródromo Las Malvinas,Aeródromo,0842MVA,SPWT,Sin escala definida,Operativo,Pluspetrol Perú Corporation S.A.,No aplica a privados,Privada,-11.8549444444444,-72.9393416666667,-1,20231231
203,08,0809,080902,Cusco,La Convención,Echarate,Las Malvinas,Helipuerto Las Malvinas,Helipuerto de superficie,0843MVA,SPHM,Sin escala definida,Operativo,Pluspetrol Perú Corporation S.A.,No aplica a privados,Privada,-11.8534194444444,-72.9418416666667,-1,20231231
204,15,1501,150140,Lima,Lima,Santiago de Surco,Las Palmas,Aeródromo Las Palmas,Aeródromo,1542LPA,SPLP,Sin escala definida,Operativo,Base Aérea Las Palmas,No aplica a privados,Pública,-12.160125,-76.998778,0,20231231
205,15,1505,150505,Lima,Cañete,Chilca,Lib Mandi Metropolitano,Aeródromo Lib Mandi Metropolitano,Aeródromo,1542LMM,SPLX,Sin escala definida,Operativo,Master Business Aviation S.A.C.,No aplica a privados,Privada,-12.389,-76.7580944439999,-1,20231231
206,12,1206,120608,Junín,Satipo,Río Tambo,Mapi,Helipuerto Mapi,Helipuerto de superficie,1243MPI,SPMP,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.432144,-73.573103,-1,20231231
207,11,1103,110303,Ica,Nasca,El Ingenio,Maria Reiche,Helipuerto de Superficie Maria Reiche,Helipuerto de superficie,1143MRE,SPMA,Sin escala definida,Operativo,Helinka S.A.C.,No aplica a privados,Privada,-14.681833,-75.134194,-1,20231231
208,12,1206,120608,Junín,Satipo,Rio Tambo,Mashira,Helipuerto Mashira,Helipuerto de superficie,1243MSH,SPMH,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.381528,-73.504972,-1,20231231
209,12,1206,120604,Junín,Satipo,Mazamari,May. PNP. Nancy Flores Paucar,Aeródromo May.PNP Nancy Flores Paucar,Aeródromo,1232MZM,SPMF,Regional,Operativo,CORPAC S.A.,Regional,Pública,-11.325517,-74.535828,0,20231231
210,08,0809,080902,Cusco,La Convención,Echarate,Mipaya,Helipuerto Mipaya,Helipuerto de superficie,0843MPY,SPPM,Sin escala definida,Operativo,Pluspetrol Perú Corporation S.A.,No aplica a privados,Privada,-11.5795277777778,-73.1661388888889,-1,20231231
211,04,0407,040701,Arequipa,Islay,Mollendo,Mollendo,Aeródromo Mollendo,Aeródromo,0442MLL,SPDO,Local,Operativo,Municipalidad Provincial de Islay,Local,Pública,-17.0441166666667,-71.984575,0,20231231
212,18,1801,180101,Moquegua,Moquegua,Mariscal Nieto,Moquegua,Aerodromo de Moquegua,Aeródromo,1842MQG,SPEQ,Sin escala definida,Operativo,CORPAC S.A.,Sin jerarquía definida,Pública,-17.18,-70.9314722222222,0,20231231
213,11,1103,110305,Ica,Nasca,Vista Alegre,Maria Reiche Neuman,Aeródromo Maria Reiche Neuman,Aeródromo,1142NAS,SPZA,Local,Operativo,CORPAC S.A.,Local,Pública,-14.854139,-74.961775,0,20231231
214,08,0809,080902,Cusco,La Convención,Echarate,Nuevo Mundo,Aeródromo Nuevo Mundo,Aeródromo,0842NMD,SPNM,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.542358333,-73.1423444439999,-1,20231231
215,04,0404,040409,Arequipa,Castilla,Orcopampa,Orcopampa,Aeródromo Orcopampa,Aeródromo,0442ORP,SPOR,Sin escala definida,Operativo,Compañía de Minas Buenaventura S.A.A.,No aplica a privados,Privada,-15.314889,-72.352,-1,20231231
216,16,1606,160606,Loreto,Ucayali,Vargas Guerra,Orellana,Aeródromo Orellana,Aeródromo,1642ORL,SPON,Local,Operativo,Municipalidad Distrital de Vargas Guerra,Local,Pública,-6.896414,-75.152586,0,20231231
217,08,0809,080902,Cusco,La Convención,Echarate,Pagoreni A,Helipuerto Pagoreni A,Helipuerto de superficie,0843PGA,SPPG,Sin escala definida,Operativo,Pluspetrol Perú Corporation S.A.,No aplica a privados,Privada,-11.717361,-72.901139,-1,20231231
218,08,0809,080902,Cusco,La Convención,Echarate,Pagoreni B,Helipuerto Pagoreni B,Helipuerto de superficie,0843PGB,SPPI,Sin escala definida,Operativo,Pluspetrol Perú Corporation S.A.,No aplica a privados,Privada,-11.691861,-72.950611,-1,20231231
219,25,2502,250204,Ucayali,Atalaya,Yurua,Paititi,Aeródromo Paititi,Aeródromo,2542PTT,SPPT,Local,Operativo,Comunidad Paititi,Sin jerarquía definida,Pública,-10.083333,-72.883333,0,20231231
220,05,0505,050509,Ayacucho,La Mar,Samugari,Palmapampa,Aeródromo Palmapampa,Aeródromo,0542PAM,SPPE,Sin escala definida,Operativo,Policía Nacional del Perú,Sin jerarquía definida,Pública,-12.7641433017963,-73.6533141039794,0,20231231
221,22,2209,220901,San Martín,Tocache,Uchiza,Palmas del Espino,Aeródromo Palmas del Espino,Aeródromo,2242PEN,SPPN,Sin escala definida,Operativo,Palmas del Espino S.A.,No aplica a privados,Privada,-8.343722,-76.489347,-1,20231231
222,16,1606,160604,Loreto,Ucayali,Pampa Hermosa,Pampa Hermosa,Aeródromo Pampa Hermosa,Aeródromo,1642PHR,SPPH,Local,Operativo,CORPAC S.A.,Local,Pública,-7.201069,-75.294042,0,20231231
223,13,1310,131006,La Libertad,Santiago De Chuco,Quiruvilca,Pata de Gallo,Aeródromo Pata de Gallo,Aeródromo,1342PGL,SPGA,Sin escala definida,Operativo,Minera Barrick Misquichilca S.A.,No aplica a privados,Privada,-7.983917,-78.269833,-1,20231231
224,08,0811,081106,Cusco,Paucartambo,Kosñipata,Patria,Aeródromo Patria,Aeródromo,0842PTA,SPIR,Local,Operativo,CORPAC S.A.,Local,Pública,-12.967303,-71.429122,0,20231231
225,13,1308,130810,La Libertad,Pataz,Pias,Pías,Aeródromo Pias,Aeródromo,1342PIA,SPIS,Sin escala definida,Operativo,Consorcio Minero Horizonte S.A.,No aplica a privados,Privada,-7.920222,-77.525389,-1,20231231
226,16,1601,160107,Loreto,Maynas,Napo,Piraña,Helipuerto Piraña,Helipuerto de superficie,1643PR1,SPHP,Sin escala definida,Operativo,Perenco Perú Petroleum Limited Sucursal del Perú,No aplica a privados,Privada,-1.91397222222222,-75.3674444444444,-1,20231231
227,11,1105,110506,Ica,Pisco,San Andrés,Pisco,Aeropuerto Pisco,Aeropuerto Internacional,1111PIO,SPSO,Internacional,Operativo,Aeropuertos del Perú S.A.,Nacional,Pública (Concesionada),-13.7448,-76.220411,1,20231231
228,20,2001,200104,Piura,Piura,Castilla,Cap. FAP. Guillermo Concha Iberico,Aeropuerto Cap.FAP Guillermo Concha Iberico,Aeropuerto,2021PIU,SPUR,Nacional,Operativo,Aeropuertos del Perú S.A.,Nacional,Pública (Concesionada),-5.205764,-80.616389,1,20231231
229,08,0809,080902,Cusco,La Convención,Echarate,Sagari Bx,Helipuerto Sagari BX,Helipuerto de superficie,0843SBX,SPZP,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.4308055555556,-73.3557222222222,-1,20231231
230,08,0809,080902,Cusco,La Convención,Echarate,Privado N°2,Helipuerto Privado No2,Helipuerto de superficie,0843PV2,SPNB,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.551166667,-73.1428611109999,-1,20231231
231,08,0809,080902,Cusco,La Convención,Echarate,Privado N°6,Helipuerto Privado No6,Helipuerto de superficie,0843PV6,SPNI,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.5469166669999,-73.141666667,-1,20231231
232,08,0809,080902,Cusco,La Convención,Echarate,Privado N°8,Helipuerto Privado No8,Helipuerto de superficie,0843PV8,SPNF,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.5515833329999,-73.147361111,-1,20231231
233,08,0809,080902,Cusco,La Convención,Echarate,Privado N°9,Helipuerto Privado No9,Helipuerto de superficie,0843PV9,SPNG,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.5512777779999,-73.147638889,-1,20231231
234,25,2501,250101,Ucayali,Coronel Portillo,Calleria,Cap. FAP. David Armando Abensur Rengifo,Aeropuerto Cap.FAP David Armando Abensur Rengifo,Aeropuerto Internacional,2511PCL,SPCL,Internacional,Operativo,Aeropuertos del Perú S.A.,Nacional,Pública (Concesionada),-8.377942000000001,-74.574297,1,20231231
235,10,1009,100902,Huánuco,Puerto Inca,Codo del Pozuzo,Pueblo Libre de Codo,Aeródromo Pueblo Libre de Codo,Aeródromo,1042PLC,SPDU,Local,Operativo,Agencia Municipal de Pueblo Libre de Codo,Local,Pública,-9.6725,-75.2827777777778,0,20231231
236,25,2504,250401,Ucayali,Purús,Purús,Puerto Esperanza,Aeródromo Puerto Esperanza,Aeródromo,2532PEP,SPEP,Regional,Operativo,CORPAC S.A.,Regional,Pública,-9.770278,-70.709167,0,20231231
237,17,1701,170101,Madre De Dios,Tambopata,Tambopata,Padre Aldamiz,Aeropuerto Padre Aldamiz,Aeropuerto,1721PEM,SPTU,Sin escala definida,Operativo,Aeropuertos Andinos del Perú S.A.,Nacional,Pública (Concesionada),-12.613831,-69.228678,1,20231231
238,16,1605,160501,Loreto,Requena,Requena,Requena,Aeródromo Requena,Aeródromo,1642RQN,SPQN,Local,Operativo,CORPAC S.A.,Sin jerarquía definida,Pública,-5.0785,-73.85625,0,20231231
239,22,2208,220801,San Martín,Rioja,Rioja,Juan Simons Vela,Aeropuerto Juan Simons Vela,Aeropuerto,2231RIJ,SPJA,Regional,Operativo,CORPAC S.A.,Nacional,Pública,-6.067792,-77.159806,0,20231231
240,01,0106,010607,Amazonas,Rodríguez de Mendoza,Oscar R. Benavides,Rodríguez de Mendoza,Aeropuerto Rodríguez de Mendoza,Aeropuerto,0131RMD,SPLN,Regional,Operativo,CORPAC S.A.,Regional,Pública,-6.392617,-77.500589,0,20231231
241,16,1603,160305,Loreto,Loreto,Urarinas,San José de Saramuro - Estación 1,Helipuerto San José de Saramuro - Estación 1,Helipuerto de superficie,1643SR1,SPSM,Sin escala definida,Operativo,Petróleos del Perú - Petroperu S.A.,No aplica a privados,Privada,-4.721556,-74.922444,-1,20231231
242,16,1607,160701,Loreto,Datem Del Marañón,Barranca,San Lorenzo,Aeródromo San Lorenzo,Aeródromo,1642SLO,SPQM,Local,Operativo,Municipalidad Provincial de Datem del Marañón,Local,Pública,-4.82425,-76.5603472222222,0,20231231
243,08,0809,080902,Cusco,La Convención,Echarate,San Martín 1,Helipuerto San Martín 1,Helipuerto de superficie,0843SM1,SPMT,Sin escala definida,Operativo,Pluspetrol Perú Corporation S.A.,No aplica a privados,Privada,-11.7675444444444,-72.7780611111111,-1,20231231
244,08,0809,080902,Cusco,La Convención,Echarate,San Martín 3,Helipuerto San Martín 3,Helipuerto de superficie,0843SM3,SPPS,Sin escala definida,Operativo,Pluspetrol Perú Corporation S.A.,No aplica a privados,Privada,-11.785528,-72.702139,-1,20231231
245,21,2108,210802,Puno,Melgar,Antauta,San Rafael,Aeródromo San Rafael,Aeródromo,2142SRF,SPRF,Sin escala definida,Operativo,Compañía Minsur S.A.,No aplica a privados,Privada,-14.282194,-70.379694,-1,20231231
246,22,2204,220401,San Martín,Huallaga,Saposoa,Saposoa,Aeródromo Saposoa,Aeródromo,2232SAP,SPOA,Local,Operativo,CORPAC S.A.,Regional,Pública,-6.959083,-76.768583,0,20231231
247,16,1607,160704,Loreto,Datem Del Marañón,Morona,Sargento Puño,Helipuerto Sargento Puño,Helipuerto de superficie,1643SGP,SPSP,Sin escala definida,Operativo,Petróleos del Perú - Petroperu S.A.,No aplica a privados,Privada,-3.220889,-77.603389,-1,20231231
248,04,0408,040808,Arequipa,La Unión,Sayla,Sayla,Helipuerto de Sayla,Helipuerto de superficie,0443SYL,SPKY,Sin escala definida,Operativo,Municipalidad Distrital de Sayla,Local,Pública,-15.322778,-73.2375,0,20231231
249,25,2502,250202,Ucayali,Atalaya,Sepahua,Sepahua,Aeródromo Sepahua,Aeródromo,2542SEP,SPSE,Local,Operativo,Municipalidad Distrital de Sepahua,Local,Pública,-11.142083,-73.034167,0,20231231
250,16,1602,160201,Loreto,Alto Amazonas,Yurimaguas,Shanusi,Aeródromo Shanusi,Aeródromo,1642SHA,SPSH,Sin escala definida,Operativo,Palmas del Shanusi S.A.,No aplica a privados,Privada,-6.128694,-76.169583,-1,20231231
251,23,2301,230101,Tacna,Tacna,Tacna,Crnl. FAP. Carlos Ciriani Santa Rosa,Aeropuerto Crnl.FAP Carlos Ciriani Santa Rosa,Aeropuerto Internacional,2311TCQ,SPTN,Internacional,Operativo,Aeropuertos Andinos del Perú S.A.,Nacional,Pública (Concesionada),-18.053286,-70.275822,1,20231231
252,20,2007,200701,Piura,Talara,Pariñas,Internacional Cap. FAP. Victor Montes Arias,Aeropuerto Cap.FAP Victor Montes Arias,Aeropuerto Internacional,2011TYL,SPYL,Internacional,Operativo,Aeropuertos del Perú S.A.,Nacional,Pública (Concesionada),-4.57661111111111,-81.2540583333333,1,20231231
253,22,2209,220901,San Martín,San Martín,Tarapoto,Cadete FAP. Guillermo del Castillo Paredes,Aeropuerto Cadete FAP Guillermo del Castillo Paredes,Aeropuerto,2221TPP,SPST,Nacional,Operativo,Aeropuertos del Perú S.A.,Nacional,Pública (Concesionada),-6.508744,-76.373247,1,20231231
254,10,1006,100601,Huánuco,Leoncio Prado,Rupa Rupa,Tingo María,Aeropuerto Tingo Maria,Aeropuerto,1031TIG,SPGM,Regional,Operativo,CORPAC S.A.,Nacional,Pública,-9.289375,-76.005042,0,20231231
255,22,2209,220901,San Martín,Tocache,Tocache,Tocache,Aeródromo Tocache,Aeródromo,2232TCH,SPCH,Regional,Operativo,CORPAC S.A.,Regional,Pública,-8.195431,-76.528667,0,20231231
256,16,1603,160304,Loreto,Loreto,Trompeteros,Trompeteros (Corrientes),Aeródromo Trompeteros,Aeródromo,1642TPC,SPDR,Sin escala definida,Operativo,Pluspetrol Norte S.A.,No aplica a privados,Privada,-3.8055,-75.0399027777778,-1,20231231
257,16,1603,160304,Loreto,Loreto,Trompeteros,Trompeteros,Helipuerto Trompeteros,Helipuerto de superficie,1643TPS,SPDT,Sin escala definida,Operativo,Pluspetrol Norte S.A.,No aplica a privados,Privada,-3.807,-75.056167,-1,20231231
258,13,1301,130104,La Libertad,Trujillo,Huanchaco,Cap. Carlos Martinez de Pinillos,Aeropuerto Cap. Carlos Martinez de Pinillos,Aeropuerto Internacional,1311TRU,SPRU,Internacional,Operativo,Aeropuertos del Perú S.A.,Nacional,Pública (Concesionada),-8.081708,-79.108644,1,20231231
259,13,1310,131004,La Libertad,Santiago De Chuco,Mollebamba,Tulpo,Aeródromo Tulpo,Aeródromo,1342TUL,SPTO,Local,Operativo,Municipalidad Distrital de Mollebamba,Local,Pública,-8.127278,-77.988181,0,20231231
260,24,2401,240101,Tumbes,Tumbes,Tumbes,Cap. FAP. Pedro Canga Rodríguez,Aeropuerto Cap.FAP Pedro Canga Rodríguez,Aeropuerto,2421TBP,SPME,Nacional,Operativo,Aeropuertos del Perú S.A.,Nacional,Pública (Concesionada),-3.552264,-80.381069,1,20231231
261,13,1308,130813,La Libertad,Pataz,Urpay,Urpay,Aeródromo Urpay,Aeródromo,1342URY,SPAI,Local,Operativo,Municipalidad Distrital de Urpay,Local,Pública,-8.350369,-77.398094,0,20231231
262,19,1901,190112,Pasco,Pasco,Vicco,Vicco,Aeródromo Vicco,Aeródromo,1942VCC,SPVI,Local,Operativo,Municipalidad Distrital de Vicco,Local,Pública,-10.848792,-76.246836,0,20231231
263,05,0511,051101,Ayacucho,Vilcashuaman,Vilcashuaman,Vilcashuamán,Aeródromo Vilcashuaman,Aeródromo,0542VCH,SPVN,Local,Operativo,CORPAC S.A.,Local,Pública,-13.678194,-73.927083,0,20231231
264,08,0808,080801,Cusco,Espinar,Yauri,Yauri,Aeródromo Yauri,Aeródromo,0832YAR,SPIY,Local,Operativo,Municipalidad Provincial de Espinar,Local,Pública,-14.8063888888889,-71.4319444444445,0,20231231
265,16,1602,160201,Loreto,Alto Amazonas,Yurimaguas,Moisés Benzaquén Rengifo,Aeropuerto Moisés Benzaquén Rengifo,Aeropuerto,1631YMS,SPMS,Regional,Operativo,CORPAC S.A.,Nacional,Pública,-5.893611,-76.118056,0,20231231
266,20,2004,200401,Piura,Morropón,Chulucanas,Metropolitano de Piura,Aeródromo Metropolitano de Piura,Aeródromo,2042MPI,SPAL,Sin escala definida,Operativo,Aeroclub de Aviación Civil del Perú,No aplica a privados,Privada,-5.06777777777779,-80.1474888888889,-1,20231231
267,08,0809,080902,Cusco,La Convención,Echarate,HP-7 (REPSOL),Helipuerto HP-7 (REPSOL),Helipuerto de superficie,0843HP7,SPNE,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.5519444444444,-73.1469444444445,-1,20231231
268,15,1501,150122,Lima,Lima,Miraflores,Clínica Delgado,Helipuerto Elevado Clínica Delgado,Helipuerto Elevado,1543CDE,SPCD,Sin escala definida,Operativo,Medic Ser S.A.C.,No aplica a privados,Privada,-12.1135416666667,-77.0331916666667,-1,20231231
269,05,0505,050507,Ayacucho,La Mar,Santa Rosa,Luisiana,Aeródromo Privado Luisiana,Aeródromo,0542LUS,SPLU,Sin escala definida,Operativo,Sr. Guillermo Parodi Morales,No aplica a privados,Privada,-12.6749722222222,-73.7095555555556,-1,20231231
270,15,1501,150130,Lima,Lima,San Borja,Banco de La Nación,Helipuerto Elevado del Banco de la Nación,Helipuerto Elevado,1543BNA,SPBN,Sin escala definida,Operativo,Banco de la Nación,No aplica a privados,Pública,-12.0871861111111,-77.000675,0,20231231
271,25,2501,250105,Ucayali,Coronel Portillo,Yarinacocha,Cashibococha,Aeródromo Cashibococha,Aeródromo,2542CSH,SPCB,Sin escala definida,Operativo,South América Mission Inc. Filial del Perú,No aplica a privados,Privada,-8.36194444444444,-74.6568055555556,-1,20231231
272,08,0809,080902,Cusco,La Convención,Echarate,Sagari Ax,Helipuerto Sagari AX,Helipuerto de superficie,0843SAX,SPSG,Sin escala definida,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,No aplica a privados,Privada,-11.4640219801136,-73.312933488782,-1,20231231
