ACARI | SINDROME DE FLUJO VAGINAL	1,1
ACOPIA | SINDROME DE FLUJO VAGINAL	1,1
ACORA | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	2,2
ACORA | SINDROME DE FLUJO VAGINAL	15,10
AGUAS VERDES | SINDROME DE FLUJO VAGINAL	1,1
ALTO DE LA ALIANZA | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	3,3
ALTO DE LA ALIANZA | HERPES GENITAL	1,1
ALTO DE LA ALIANZA | INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION	5,3
ALTO DE LA ALIANZA | INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA	1,1
ALTO DE LA ALIANZA | SIFILIS NO ESPECIFICADA	4,3
ALTO DE LA ALIANZA | SIFILIS PRIMARIA	2,2
ALTO DE LA ALIANZA | SINDROME DE DOLOR ABDOMINAL BAJO	1,1
ALTO DE LA ALIANZA | SINDROME DE FLUJO VAGINAL	159,43
ALTO DE LA ALIANZA | SINDROME DE SECRECION URETRAL	1,1
ALTO DE LA ALIANZA | SINDROME DE ULCERA GENITAL	4,4
ALTO DE LA ALIANZA | TRICHOMONIASIS	1,1
ALTO DE LA ALIANZA | VERRUGAS (VENEREAS) ANOGENITALES	12,10
ALTO NANAY | SINDROME DE FLUJO VAGINAL	1,1
ALTO SELVA ALEGRE | SINDROME DE DOLOR ABDOMINAL BAJO	1,1
ALTO SELVA ALEGRE | SINDROME DE FLUJO VAGINAL	3,1
ANCHONGA | SINDROME DE FLUJO VAGINAL	1,1
ANCON | SINDROME DE FLUJO VAGINAL	1,1
ANDAHUAYLAS | SINDROME DE FLUJO VAGINAL	1,1
APLAO | SINDROME DE FLUJO VAGINAL	1,1
ARAPA | SINDROME DE FLUJO VAGINAL	1,1
AREQUIPA | SINDROME DE FLUJO VAGINAL	5,5
AREQUIPA | VERRUGAS (VENEREAS) ANOGENITALES	2,1
ATE | SINDROME DE FLUJO VAGINAL	2,2
ATUNCOLLA | SINDROME DE FLUJO VAGINAL	1,1
AYACUCHO | SINDROME DE FLUJO VAGINAL	1,1
AYAVIRI | SINDROME DE FLUJO VAGINAL	1,1
BAGUA GRANDE | SINDROME DE FLUJO VAGINAL	2,2
BAGUA | SINDROME DE FLUJO VAGINAL	1,1
BELEN | SINDROME DE FLUJO VAGINAL	1,1
BELLAVISTA | SINDROME DE FLUJO VAGINAL	1,1
BREÑA | SINDROME DE FLUJO VAGINAL	1,1
CABANA | SINDROME DE FLUJO VAGINAL	1,1
CAIRANI | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	2,2
CAIRANI | LINFOGRANULOMA VENEREO	1,1
CAIRANI | SINDROME DE FLUJO VAGINAL	11,6
CAJABAMBA | SINDROME DE FLUJO VAGINAL	1,1
CAJAMARCA | SINDROME DE FLUJO VAGINAL	1,1
CALANA | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	2,2
CALANA | SINDROME DE FLUJO VAGINAL	31,9
CALANA | VERRUGAS (VENEREAS) ANOGENITALES	1,1
CALLAO | SINDROME DE FLUJO VAGINAL	1,1
CALLERIA | SINDROME DE FLUJO VAGINAL	4,3
CAMILACA | SINDROME DE DOLOR ABDOMINAL BAJO	1,1
CAMILACA | SINDROME DE FLUJO VAGINAL	2,2
CANDARAVE | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	1,1
CANDARAVE | OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL ESPECIFICADAS	1,1
CANDARAVE | SINDROME DE DOLOR ABDOMINAL BAJO	3,3
CANDARAVE | SINDROME DE FLUJO VAGINAL	25,10
CARACOTO | SINDROME DE FLUJO VAGINAL	2,2
CARUMAS | VERRUGAS (VENEREAS) ANOGENITALES	1,1
CASA GRANDE | SINDROME DE FLUJO VAGINAL	1,1
CASTILLA | SINDROME DE FLUJO VAGINAL	1,1
CATILLUC | SINDROME DE FLUJO VAGINAL	1,1
CAYLLOMA | SINDROME DE FLUJO VAGINAL	1,1
CAYMA | SINDROME DE FLUJO VAGINAL	1,1
CERRO COLORADO | SINDROME DE FLUJO VAGINAL	3,3
CERRO COLORADO | SINDROME DE SECRECION URETRAL	1,1
CHAMACA | SINDROME DE DOLOR ABDOMINAL BAJO	1,1
CHARACATO | SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA	1,1
CHICLAYO | SINDROME DE DOLOR ABDOMINAL BAJO	1,1
CHICLAYO | SINDROME DE FLUJO VAGINAL	1,1
CHINCHA ALTA | SINDROME DE FLUJO VAGINAL	1,1
CHORRILLOS | SINDROME DE FLUJO VAGINAL	2,2
CHUCUITO | SINDROME DE FLUJO VAGINAL	1,1
CIUDAD NUEVA | CHANCRO BLANDO	3,2
CIUDAD NUEVA | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	13,8
CIUDAD NUEVA | HERPES GENITAL	3,3
