CIUDAD NUEVA | SIFILIS NO ESPECIFICADA	1.0
CIUDAD NUEVA | SIFILIS TARDIA NO ESPECIFICADA	1.0
CIUDAD NUEVA | SINDROME DE DOLOR ABDOMINAL BAJO	1.0
CIUDAD NUEVA | SINDROME DE FLUJO VAGINAL	4.07
CIUDAD NUEVA | SINDROME DE SECRECION URETRAL	1.0
CIUDAD NUEVA | SINDROME DE ULCERA GENITAL	1.0
CIUDAD NUEVA | TRICHOMONIASIS	1.0
CIUDAD NUEVA | TRICOMONIASIS UROGENITAL	1.0
CIUDAD NUEVA | VERRUGAS (VENEREAS) ANOGENITALES	1.286
COLQUEMARCA | SINDROME DE FLUJO VAGINAL	2.0
COMAS | SINDROME DE FLUJO VAGINAL	1.0
COMBAPATA | SIFILIS NO ESPECIFICADA	1.0
CONDURIRI | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	1.0
CONGALLA | SINDROME DE FLUJO VAGINAL	1.0
CONTAMANA | SINDROME DE FLUJO VAGINAL	1.0
COPANI | SINDROME DE FLUJO VAGINAL	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	1.778
CORONEL GREGORIO ALBARRACIN LANCHIPA | GONORREA	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | GRANULOMA INGUINAL	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | HERPES GENITAL	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | LINFOGRANULOMA VENEREO	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | PROCTITIS	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SIFILIS CONGENITA	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SIFILIS LATENTE	2.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SIFILIS NO ESPECIFICADA	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SIFILIS PRIMARIA	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SINDROME DE BUBON INGUINAL	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SINDROME DE CERVICITIS	2.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SINDROME DE DOLOR ABDOMINAL BAJO	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SINDROME DE FLUJO VAGINAL	11.397
CORONEL GREGORIO ALBARRACIN LANCHIPA | SINDROME DE SECRECION URETRAL	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | SINDROME DE ULCERA GENITAL	1.0
CORONEL GREGORIO ALBARRACIN LANCHIPA | TRICHOMONIASIS	1.333
CORONEL GREGORIO ALBARRACIN LANCHIPA | TRICOMONIASIS UROGENITAL	1.429
CORONEL GREGORIO ALBARRACIN LANCHIPA | VERRUGAS (VENEREAS) ANOGENITALES	2.0
CORRALES | SINDROME DE FLUJO VAGINAL	1.0
CURAHUASI | SINDROME DE FLUJO VAGINAL	1.0
CURIBAYA | SINDROME DE FLUJO VAGINAL	1.0
CUSCO | SINDROME DE FLUJO VAGINAL	1.0
DESAGUADERO | SINDROME DE FLUJO VAGINAL	1.0
ECHARATE | SINDROME DE FLUJO VAGINAL	1.0
EL AGUSTINO | SINDROME DE FLUJO VAGINAL	1.333
EL CARMEN | ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA	1.0
EL INGENIO | VERRUGAS (VENEREAS) ANOGENITALES	1.0
EL PORVENIR | SINDROME DE FLUJO VAGINAL	1.0
EL PORVENIR | VERRUGAS (VENEREAS) ANOGENITALES	1.0
EL TAMBO | SINDROME DE FLUJO VAGINAL	1.0
EMILIO SAN MARTIN | SINDROME DE FLUJO VAGINAL	1.0
ENCAÑADA | SINDROME DE FLUJO VAGINAL	1.0
ESTIQUE | SINDROME DE FLUJO VAGINAL	1.0
