CHANCRO BLANDO | 18-29a	1.5
CHANCRO BLANDO | 30-59a	1.0
CLAMIDIASIS | 30-59a	1.0
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 1-4a	1.0
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 12-17a	1.0
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 18-29a	1.676
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 30-59a	1.583
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 5-11a	1.0
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 60a+	1.333
GONORREA | 12-17a	1.0
GONORREA | 18-29a	1.0
GRANULOMA INGUINAL | 18-29a	1.0
GRANULOMA INGUINAL | 30-59a	1.0
HERPES GENITAL | 12-17a	1.0
HERPES GENITAL | 18-29a	1.235
HERPES GENITAL | 30-59a	1.091
HERPES GENITAL | 60a+	1.0
INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION | 12-17a	2.0
INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION | 18-29a	1.667
INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION | 30-59a	1.0
INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE | 60a+	1.0
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | 18-29a	1.0
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | 30-59a	2.5
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | 60a+	1.0
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLA | 18-29a	1.0
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA | 18-29a	1.0
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA | 30-59a	1.0
LINFOGRANULOMA VENEREO | 18-29a	1.0
LINFOGRANULOMA VENEREO | 30-59a	1.0
OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL ESPECIFICADAS | 18-29a	1.0
OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL ESPECIFICADAS | 30-59a	1.0
PROCTITIS | 18-29a	1.0
PROCTITIS | 30-59a	1.0
SIFILIS CONGENITA PRECOZ LATENTE | 29d-11m	1.0
SIFILIS CONGENITA PRECOZ SINTOMATICA | 29d-11m	1.0
SIFILIS CONGENITA PRECOZ SINTOMATICA | 30-59a	1.0
SIFILIS CONGENITA | 0-28d	1.0
SIFILIS CONGENITA | 29d-11m	1.0
SIFILIS CONGENITA | 30-59a	1.0
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | 18-29a	1.0
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | 30-59a	1.0
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | 60a+	1.0
SIFILIS LATENTE | 18-29a	1.0
