ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,LA CONVENCION,29
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,PARURO,1
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,PAUCARTAMBO,3
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,QUISPICANCHI,31
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,URUBAMBA,26
2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,ASTURIAS,2
2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,BARCELONA,4
2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,LEON,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,MADRID,7
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,ARKANSAS,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,CALIFORNIA,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,CONNECTICUT,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,DENVER,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,LOS ANGELES,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,LOUISIANA,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MARYLAND,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MIAMI,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MISSOURI,2
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,NUEVA YORK,3
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,ORLANDO,2
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,PATERSON,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,SAN ANTONIO,1
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,SAN DIEGO,2
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,SAN FRANCISCO,3
2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,VIRGINIA,3
2022,AGOSTO,DEFUNCION,FEMENINO,FRANCIA,NORMANDIA,1
2022,AGOSTO,DEFUNCION,FEMENINO,HOLANDA,HOLANDA SEPTENTRIONAL,1
2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,ANGARAES,5
2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,CASTROVIRREYNA,8
2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,CHURCAMPA,4
2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,HUANCAVELICA,8
2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,HUAYTARA,5
